"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"L5CD4D-B47QM-AV5IIQ","TX7WY4-KJV3M-KQL2JE","2021-05-05 09:24:38","trade","","currency","ZEUR",-386.0000,1.0036,119.0170
"LNKBKX-KAX66-7HNISH","TX7WY4-KJV3M-KQL2JE","2021-05-05 09:24:38","trade","","currency","AAVE",1.0000000000,0.0000000000,1.0000000000
"LTRGPY-ENN54-RSIXHG","TM7Y5L-72P5S-2SZBCM","2021-06-17 13:00:27","trade","","currency","ZEUR",-99.2040,0.2579,118.2595
"LRBIAC-GBADI-RGRFWY","TM7Y5L-72P5S-2SZBCM","2021-06-17 13:00:27","trade","","currency","AAVE",0.4000000000,0.0000000000,1.4000000000
"LHCW5J-5HKD5-AOFEN4","TP4F3O-D6U2L-C556EJ","2022-05-13 18:45:39","trade","","currency","ZEUR",-244.9500,0.6369,1756.3947
"LT2IR7-UXNXL-JVSTJI","TP4F3O-D6U2L-C556EJ","2022-05-13 18:45:39","trade","","currency","AAVE",3.0000000000,0.0000000000,4.4000000000
